john	a male given name from English/ variant of João/ variant form Jhon
casamento	wedding (marriage ceremony)
outras	other (not the one previously referred to)
espere	to wait
pensa	to think (communicate to oneself in one’s mind)
jack	jack (switch for a jack plug)
nossas	our (belonging to/ associated with/ related to/ or in the…
correr	to run (to move quickly on one’s feet)
mudar	to change (to become or cause to become something different)
diga	to say
paz	peace
sentir	to sense/ to feel (to perceive by means of biological senses)
cama	bed (furniture for sleeping on)
gostava	to like
sozinho	alone/ by oneself/ on one's own
pelos	contraction of por + o/ by the/ for the/ through the
comida	to eat
sequer	at least/ at the least
falta	to be missing/ to be lacking
ficou	to become/ to get/ to end up
conheço	to know (be acquainted or familiar with)
gosta	to like
passou	to pass/ to pass by (to move past)
bastante	enough/ sufficiently
deu	to give
provavelmente	probably
palavra	word
demasiado	superfluous
diferente	different (not the same/ unequal)
essas	that (near you)
armas	weapon
digo	to say
licença	license/ permit (legal document giving official permission to do…
demais	too/ overly
pagar	to pay
médico	doctor/ physician
seguir	to follow (to go or come after in physical space)
semanas	week (period of seven days)
consegues	to get/ obtain
dizem	to say
matou	to kill (to cause to die)
único	unique
acreditar	to believe (to accept that someone is telling the truth)
local	local
fazem	to make
pior	badly (in a faulty/ dysfunctional or incorrect manner)
próprio	own
continua	to continue/ to go on (with) (to not stop)
vosso	your (plural) (belonging to/ associated with/ related to/ or in…
consegue	to get/ obtain
fico	first-person singular present indicative of ficar
diz-me
país	country/ nation (a sovereign polity)
gostaria	to like
forte	strength (pronounced quality)/ strong suit
partir	to split (divide something/ especially in two roughly equal parts)
prisão	prison
próxima	near/ close
especial	special
esteja	to be (indicates location in space)
livro	book
oportunidade	opportunity (chance for advancement/ progress or profit)
viste	to see/ to observe (to perceive with one’s eyes)
rei	king (male monarch)
chegou	to arrive (at)/ to reach (to conclude moving to a destination)
esses	that (near you)
continuar	to continue/ to go on (with) (to not stop)
resto	to remain
ar	initialism of Assembleia da República (“Assembly of the Republic”)
estive	to be (indicates location in space)
hospital	hospital
sítio	site/ location/ place
fazê-lo
raios	ray
ligar	to link/ to connect/ to join (to put things together so they work…
porra	club (heavy stick used as a weapon)
minuto	minute (60 seconds)
irá	to go (to move to a destination)
sentido	to sense/ to feel (to perceive by means of biological senses)
atenção	attention
vim	to come (to move towards the speaker or the agent)
quis	to want/ to wish/ to desire
sam
queremos	to want/ to wish/ to desire
direito	law (body of rules and standards to be applied by courts)
café	coffee (beverage)
venha	to come (to move towards the speaker or the agent)
